date,close,daily_return,outlier_iqr
2016-08-29,218.3600006103516,,False
2016-08-30,218.0,-0.0016486563901141338,False
2016-08-31,217.3800048828125,-0.002844014299025255,False
2016-09-01,217.38999938964844,4.5977121222895434e-05,False
2016-09-02,218.3699951171875,0.004508007407380887,False
2016-09-06,219.02999877929688,0.0030224100236626583,False
2016-09-07,219.00999450683597,-9.13311992530863e-05,False
2016-09-08,218.50999450683597,-0.002283000833481985,False
2016-09-09,213.27999877929688,-0.023934812406832373,True
2016-09-12,216.33999633789065,0.014347325469371786,False
2016-09-13,213.22999572753903,-0.014375523079395158,False
2016-09-14,213.1499938964844,-0.0003751903233955023,False
2016-09-15,215.27999877929688,0.009992985896339679,False
2016-09-16,213.3699951171875,-0.00887218354208319,False
2016-09-19,213.41000366210935,0.00018750783070453636,False
2016-09-20,213.4199981689453,4.68324195888048e-05,False
2016-09-21,215.82000732421875,0.011245474537833866,False
2016-09-22,217.17999267578125,0.006301479498698415,False
2016-09-23,215.9900054931641,-0.005479267072237337,False
2016-09-26,214.2400054931641,-0.008102226748891828,False
2016-09-27,215.57000732421875,0.006207999425658528,False
2016-09-28,216.63999938964844,0.00496354793837539,False
2016-09-29,214.67999267578125,-0.009047298372365287,False
2016-09-30,216.3000030517578,0.007546163737871758,False
2016-10-03,215.77999877929688,-0.0024040881420446247,False
2016-10-04,214.67999267578125,-0.005097813095460868,False
2016-10-05,215.6300048828125,0.0044252479944231204,False
2016-10-06,215.77999877929688,0.0006956077219675283,False
2016-10-07,215.0399932861328,-0.0034294443291796872,False
2016-10-10,216.16000366210935,0.00520838174732563,False
2016-10-11,213.42999267578125,-0.012629584289772233,False
2016-10-12,213.7100067138672,0.0013119713615477036,False
2016-10-13,213.00999450683597,-0.003275523770716382,False
2016-10-14,213.1199951171875,0.0005164105590735879,False
2016-10-17,212.3800048828125,-0.003472176479584199,False
2016-10-18,213.7100067138672,0.006262368398515461,False
2016-10-19,214.27999877929688,0.0026671285738755213,False
2016-10-20,213.8800048828125,-0.0018666879725734997,False
2016-10-21,213.97999572753903,0.0004675090819328265,False
2016-10-24,214.88999938964844,0.0042527510995378215,False
2016-10-25,214.1699981689453,-0.00335055713503718,False
2016-10-26,213.7400054931641,-0.002007716671137194,False
2016-10-27,213.1699981689453,-0.002666825627254954,False
2016-10-28,212.5399932861328,-0.002955410649828849,False
2016-10-31,212.5500030517578,4.709591578611061e-05,False
2016-11-01,211.00999450683597,-0.007245394132254335,False
2016-11-02,209.7400054931641,-0.006018620192091095,False
2016-11-03,208.77999877929688,-0.004577127342063059,False
2016-11-04,208.5500030517578,-0.0011016176304425862,False
2016-11-07,213.1499938964844,0.02205701643449487,True
2016-11-08,214.1100006103516,0.0045039021410124835,False
2016-11-09,216.3800048828125,0.010602046919760522,False
2016-11-10,216.9199981689453,0.002495578491299444,False
2016-11-11,216.4199981689453,-0.002304997253460117,False
2016-11-14,216.58999633789065,0.0007855012031403596,False
2016-11-15,218.27999877929688,0.007802772380907763,False
2016-11-16,217.8699951171875,-0.0018783382096493328,False
2016-11-17,218.9900054931641,0.005140727961985503,False
2016-11-18,218.5,-0.0022375701213422916,False
2016-11-21,220.1499938964844,0.007551459480477751,False
2016-11-22,220.5800018310547,0.0019532498137269094,False
2016-11-23,220.6999969482422,0.0005439981693327045,False
2016-11-25,221.5200042724609,0.00371548407592881,False
2016-11-28,220.47999572753903,-0.004694874164243412,False
2016-11-29,220.91000366210935,0.0019503263012654593,False
2016-11-30,220.3800048828125,-0.0023991615160511293,False
2016-12-01,219.57000732421875,-0.003675458483742511,False
2016-12-02,219.67999267578125,0.0005009124556802913,False
2016-12-05,221.0,0.006008773526166689,False
2016-12-06,221.6999969482422,0.0031674070056206816,False
2016-12-07,224.6000061035156,0.013080781214220849,False
2016-12-08,225.1499938964844,0.002448743446228141,False
2016-12-09,226.50999450683597,0.006040420374058941,False
2016-12-12,226.25,-0.0011478279684833392,False
2016-12-13,227.75999450683597,0.006674008869993253,False
2016-12-14,225.8800048828125,-0.008254257417305344,False
2016-12-15,226.80999755859372,0.004117197873551026,False
2016-12-16,225.0399932861328,-0.007803907638611274,False
2016-12-19,225.52999877929688,0.0021774151607845127,False
2016-12-20,226.3999938964844,0.0038575582933377817,False
2016-12-21,225.7700042724609,-0.002782639757099692,False
2016-12-22,225.3800048828125,-0.0017274189762505054,False
2016-12-23,225.7100067138672,0.0014642018985946414,False
2016-12-27,226.2700042724609,0.002481048876595171,False
2016-12-28,224.3999938964844,-0.008264508510481772,False
2016-12-29,224.3500061035156,-0.00022276200681126124,False
2016-12-30,223.52999877929688,-0.0036550358899494206,False
2017-01-03,225.2400054931641,0.007650009945893599,False
2017-01-04,226.5800018310547,0.005949193328053104,False
2017-01-05,226.3999938964844,-0.0007944564088427919,False
