date,close
2016/8/26,217.2899933
2016/8/29,218.3600006
2016/8/30,218
2016/8/31,217.3800049
2016/9/1,217.3899994
2016/9/2,218.3699951
2016/9/6,219.0299988
2016/9/7,219.0099945
2016/9/8,218.5099945
2016/9/9,213.2799988
2016/9/12,216.3399963
2016/9/13,213.2299957
2016/9/14,213.1499939
2016/9/15,215.2799988
2016/9/16,213.3699951
2016/9/19,213.4100037
2016/9/20,213.4199982
2016/9/21,215.8200073
2016/9/22,217.1799927
2016/9/23,215.9900055
2016/9/26,214.2400055
2016/9/27,215.5700073
2016/9/28,216.6399994
2016/9/29,214.6799927
2016/9/30,216.3000031
2016/10/3,215.7799988
2016/10/4,214.6799927
2016/10/5,215.6300049
2016/10/6,215.7799988
2016/10/7,215.0399933
2016/10/10,216.1600037
2016/10/11,213.4299927
2016/10/12,213.7100067
2016/10/13,213.0099945
2016/10/14,213.1199951
2016/10/17,212.3800049
2016/10/18,213.7100067
2016/10/19,214.2799988
2016/10/20,213.8800049
2016/10/21,213.9799957
2016/10/24,214.8899994
2016/10/25,214.1699982
2016/10/26,213.7400055
2016/10/27,213.1699982
2016/10/28,212.5399933
2016/10/31,212.5500031
2016/11/1,211.0099945
2016/11/2,209.7400055
2016/11/3,208.7799988
2016/11/4,208.5500031
2016/11/7,213.1499939
2016/11/8,214.1100006
2016/11/9,216.3800049
2016/11/10,216.9199982
2016/11/11,216.4199982
2016/11/14,216.5899963
2016/11/15,218.2799988
2016/11/16,217.8699951
2016/11/17,218.9900055
2016/11/18,218.5
2016/11/21,220.1499939
2016/11/22,220.5800018
2016/11/23,220.6999969
2016/11/25,221.5200043
2016/11/28,220.4799957
2016/11/29,220.9100037
2016/11/30,220.3800049
2016/12/1,219.5700073
2016/12/2,219.6799927
2016/12/5,221
2016/12/6,221.6999969
2016/12/7,224.6000061
2016/12/8,225.1499939
2016/12/9,226.5099945
2016/12/12,226.25
2016/12/13,227.7599945
2016/12/14,225.8800049
2016/12/15,226.8099976
2016/12/16,225.0399933
2016/12/19,225.5299988
2016/12/20,226.3999939
2016/12/21,225.7700043
2016/12/22,225.3800049
2016/12/23,225.7100067
2016/12/27,226.2700043
2016/12/28,224.3999939
2016/12/29,224.3500061
2016/12/30,223.5299988
2017/1/3,225.2400055
2017/1/4,226.5800018
2017/1/5,226.3999939
2017/1/6,227.2100067
2017/1/9,226.4600067
2017/1/10,226.4600067
2017/1/11,227.1000061
2017/1/12,226.5299988
2017/1/13,227.0500031
2017/1/17,226.25
2017/1/18,226.75
2017/1/19,225.9100037
2017/1/20,226.7400055
2017/1/23,226.1499939
2017/1/24,227.6000061
2017/1/25,229.5700073
2017/1/26,229.3300018
2017/1/27,228.9700012
2017/1/30,227.5500031
2017/1/31,227.5299988
2017/2/1,227.6199951
2017/2/2,227.7700043
2017/2/3,229.3399963
2017/2/6,228.9299927
2017/2/7,228.9400024
2017/2/8,229.2400055
2017/2/9,230.6000061
2017/2/10,231.5099945
2017/2/13,232.7700043
2017/2/14,233.6999969
2017/2/15,234.9199982
2017/2/16,234.7200012
2017/2/17,235.0899963
2017/2/21,236.4900055
2017/2/22,236.2799988
2017/2/23,236.4400024
2017/2/24,236.7400055
2017/2/27,237.1100006
2017/2/28,236.4700012
2017/3/1,239.7799988
2017/3/2,238.2700043
2017/3/3,238.4199982
2017/3/6,237.7100067
2017/3/7,237
2017/3/8,236.5599976
2017/3/9,236.8600006
2017/3/10,237.6900024
2017/3/13,237.8099976
2017/3/14,236.8999939
2017/3/15,238.9499969
2017/3/16,238.4799957
2017/3/17,237.0299988
2017/3/20,236.7700043
2017/3/21,233.7299957
2017/3/22,234.2799988
2017/3/23,234.0299988
2017/3/24,233.8600006
2017/3/27,233.6199951
2017/3/28,235.3200073
2017/3/29,235.5399933
2017/3/30,236.2899933
2017/3/31,235.7400055
2017/4/3,235.3300018
2017/4/4,235.4799957
2017/4/5,234.7799988
2017/4/6,235.4400024
2017/4/7,235.1999969
2017/4/10,235.3399963
2017/4/11,235.0599976
2017/4/12,234.0299988
2017/4/13,232.5099945
2017/4/17,234.5700073
2017/4/18,233.8699951
2017/4/19,233.4400024
2017/4/20,235.3399963
2017/4/21,234.5899963
2017/4/24,237.1699982
2017/4/25,238.5500031
2017/4/26,238.3999939
2017/4/27,238.6000061
2017/4/28,238.0800018
2017/5/1,238.6799927
2017/5/2,238.7700043
2017/5/3,238.4799957
2017/5/4,238.7599945
2017/5/5,239.6999969
2017/5/8,239.6600037
2017/5/9,239.4400024
2017/5/10,239.8699951
2017/5/11,239.3800049
2017/5/12,238.9799957
2017/5/15,240.3000031
2017/5/16,240.0800018
2017/5/17,235.8200073
2017/5/18,236.7700043
2017/5/19,238.3099976
2017/5/22,239.5200043
2017/5/23,240.0500031
2017/5/24,240.6100006
2017/5/25,241.7599945
2017/5/26,241.7100067
2017/5/30,241.5
2017/5/31,241.4400024
2017/6/1,243.3600006
2017/6/2,244.1699982
2017/6/5,243.9900055
2017/6/6,243.2100067
2017/6/7,243.6600037
2017/6/8,243.7799988
2017/6/9,243.4100037
2017/6/12,243.3600006
2017/6/13,244.5500031
2017/6/14,244.2400055
2017/6/15,243.7700043
2017/6/16,242.6399994
2017/6/19,244.6600037
2017/6/20,243.0099945
2017/6/21,242.9499969
2017/6/22,242.8399963
2017/6/23,243.1300049
2017/6/26,243.2899933
2017/6/27,241.3300018
2017/6/28,243.4900055
2017/6/29,241.3500061
2017/6/30,241.8000031
2017/7/3,242.2100067
2017/7/5,242.7700043
2017/7/6,240.5500031
2017/7/7,242.1100006
2017/7/10,242.3699951
2017/7/11,242.1900024
2017/7/12,244.0099945
2017/7/13,244.4199982
2017/7/14,245.5599976
2017/7/17,245.5299988
2017/7/18,245.6600037
2017/7/19,246.9900055
2017/7/20,247.1000061
2017/7/21,246.8800049
2017/7/24,246.8200073
2017/7/25,247.4199982
2017/7/26,247.4299927
2017/7/27,247.1999969
2017/7/28,246.9100037
2017/7/31,246.7700043
2017/8/1,247.3200073
2017/8/2,247.4400024
2017/8/3,246.9600067
2017/8/4,247.4100037
2017/8/7,247.8699951
2017/8/8,247.2599945
2017/8/9,247.25
2017/8/10,243.7599945
2017/8/11,244.1199951
2017/8/14,246.5399933
2017/8/15,246.5099945
2017/8/16,246.9400024
2017/8/17,243.0899963
2017/8/18,242.7100067
2017/8/21,242.8999939
2017/8/22,245.4400024
2017/8/23,244.5599976
2017/8/24,243.9900055
2017/8/25,244.5599976
2017/8/28,244.5700073
2017/8/29,244.8500061
2017/8/30,246.0099945
2017/8/31,247.4900055
2017/9/1,247.8399963
2017/9/5,246.0599976
2017/9/6,246.8999939
2017/9/7,246.8699951
2017/9/8,246.5800018
2017/9/11,249.2100067
2017/9/12,250.0500031
2017/9/13,250.1699982
2017/9/14,250.0899963
2017/9/15,249.1900024
2017/9/18,249.7200012
2017/9/19,249.9700012
2017/9/20,250.0599976
2017/9/21,249.3899994
2017/9/22,249.4400024
2017/9/25,248.9299927
2017/9/26,249.0800018
2017/9/27,250.0500031
2017/9/28,250.3500061
2017/9/29,251.2299957
2017/10/2,252.3200073
2017/10/3,252.8600006
2017/10/4,253.1600037
2017/10/5,254.6600037
2017/10/6,254.3699951
2017/10/9,253.9499969
2017/10/10,254.6199951
2017/10/11,255.0200043
2017/10/12,254.6399994
2017/10/13,254.9499969
2017/10/16,255.2899933
2017/10/17,255.4700012
2017/10/18,255.7200012
2017/10/19,255.7899933
2017/10/20,257.1099854
2017/10/23,256.1099854
2017/10/24,256.5599976
2017/10/25,255.2899933
2017/10/26,255.6199951
2017/10/27,257.7099915
2017/10/30,256.75
2017/10/31,257.1499939
2017/11/1,257.4899902
2017/11/2,257.5899963
2017/11/3,258.4500122
2017/11/6,258.8500061
2017/11/7,258.6700134
2017/11/8,259.1099854
2017/11/9,258.1700134
2017/11/10,258.0899963
2017/11/13,258.3299866
2017/11/14,257.730011
2017/11/15,256.4400024
2017/11/16,258.6199951
2017/11/17,257.8599854
2017/11/20,258.2999878
2017/11/21,259.9899902
2017/11/22,259.7600098
2017/11/24,260.3599854
2017/11/27,260.230011
2017/11/28,262.8699951
2017/11/29,262.7099915
2017/11/30,265.0100098
2017/12/1,264.4599915
2017/12/4,264.1400146
2017/12/5,263.1900024
2017/12/6,263.2399902
2017/12/7,264.0700073
2017/12/8,265.5100098
2017/12/11,266.3099976
2017/12/12,266.7799988
2017/12/13,266.75
2017/12/14,265.6600037
2017/12/15,266.5100098
2017/12/18,268.2000122
2017/12/19,267.1700134
2017/12/20,267.0299988
2017/12/21,267.5799866
2017/12/22,267.5100098
2017/12/26,267.1900024
2017/12/27,267.3200073
2017/12/28,267.8699951
2017/12/29,266.8599854
2018/1/2,268.769989
2018/1/3,270.4700012
2018/1/4,271.6099854
2018/1/5,273.4200134
2018/1/8,273.9200134
2018/1/9,274.5400085
2018/1/10,274.1199951
2018/1/11,276.1199951
2018/1/12,277.9200134
